scenario,label,counties,adult_population,preventable_cases,avoided_cost_usd,preventable_per_1000_adults,relative_to_uniform
uniform_005,Uniform +0.05 NDVI,1167,218643229,1264303.8689055443,26904386207.875,5.782497243056835,1.0
proportional_10pct,Proportional +10% NDVI,1167,218643229,1334034.7734348774,28388259809.828125,6.101422758602222,1.0551535957804956
greenable_005,Greenable-only +0.05 NDVI,1167,218643229,670172.3827587366,14261267982.047363,3.0651412615148335,0.5300722391515555
best_potential_p95,Within-county p95 potential,1167,218643229,6693690.104585648,142441723209.40625,30.614669089915644,5.294368125583685
existing_greenness,Existing greenness (accounting),1167,218643229,12733902.052780151,270977433362.6875,58.24055064966202,10.071868295240895
