GEOID,name,tracts,preventable_cases,avoided_cost,adult_population,preventable_per_1000_adults
06037,Los Angeles,1,35792.2734375,761659520.0,7790870,4.59
48201,Harris,1,20754.150390625,441648320.0,3515154,5.9
04013,Maricopa,1,19561.69921875,416273024.0,3466307,5.64
17031,Cook,1,19551.82421875,416062784.0,4074847,4.8
06073,San Diego,1,12956.056640625,275704864.0,2588613,5.01
48113,Dallas,1,12297.5322265625,261691488.0,1941989,6.33
06059,Orange,1,12270.0224609375,261106048.0,2489230,4.93
53033,King,1,11726.5615234375,249541216.0,1815592,6.46
36047,Kings,1,10771.12890625,229209616.0,2051269,5.25
48029,Bexar,1,10717.6025390625,228070592.0,1529319,7.01
48439,Tarrant,1,10395.22265625,221210368.0,1587266,6.55
32003,Clark,1,9876.265625,210166896.0,1776818,5.56
06065,Riverside,1,9301.291015625,197931472.0,1851238,5.02
12086,Miami-Dade,1,9248.990234375,196818560.0,2144601,4.31
06071,San Bernardino,1,8725.2841796875,185674048.0,1623837,5.37
26163,Wayne,1,8591.7314453125,182832064.0,1352595,6.35
36081,Queens,1,8448.5517578125,179785184.0,1869189,4.52
42101,Philadelphia,1,7724.3984375,164375200.0,1243710,6.21
36061,New York,1,7481.5947265625,159208336.0,1398269,5.35
12011,Broward,1,7410.6181640625,157697952.0,1539395,4.81
49035,Salt Lake,1,6980.791015625,148551232.0,878345,7.95
39049,Franklin,1,6963.3798828125,148180704.0,1012711,6.88
25017,Middlesex,1,6949.40185546875,147883264.0,1304428,5.33
06067,Sacramento,1,6710.24853515625,142794080.0,1218380,5.51
27053,Hennepin,1,6623.21142578125,140941936.0,992536,6.67
48453,Travis,1,6508.26708984375,138495952.0,1039958,6.26
06001,Alameda,1,6483.50048828125,137968896.0,1320914,4.91
39035,Cuyahoga,1,6321.36474609375,134518656.0,991791,6.37
06085,Santa Clara,1,6319.43701171875,134477632.0,1504544,4.2
36103,Suffolk,1,6031.11767578125,128342168.0,1206356,5.0
36005,Bronx,1,5982.7734375,127313424.0,1071887,5.58
12057,Hillsborough,1,5935.4091796875,126305512.0,1164610,5.1
12099,Palm Beach,1,5891.4873046875,125370856.0,1222641,4.82
12095,Orange,1,5580.884765625,118761224.0,1129805,4.94
04019,Pima,1,5543.98046875,117975880.0,841363,6.59
42003,Allegheny,1,5435.20263671875,115661104.0,1008186,5.39
26125,Oakland,1,5433.8828125,115633016.0,1011540,5.37
18097,Marion,1,5246.748046875,111650792.0,728172,7.21
48085,Collin,1,5160.88916015625,109823728.0,836553,6.17
53053,Pierce,1,5160.83203125,109822504.0,709667,7.27
36029,Erie,1,5028.63525390625,107009368.0,757491,6.64
41051,Multnomah,1,4949.04931640625,105315776.0,659774,7.5
26099,Macomb,1,4879.40478515625,103833728.0,694851,7.02
53061,Snohomish,1,4851.595703125,103241952.0,648013,7.49
37119,Mecklenburg,1,4816.21728515625,102489088.0,870043,5.54
36059,Nassau,1,4764.59716796875,101390624.0,1087999,4.38
29189,St. Louis,1,4687.69140625,99754072.0,776147,6.04
55079,Milwaukee,1,4591.18359375,97700384.0,706106,6.5
48121,Denton,1,4581.19921875,97487920.0,720747,6.36
37183,Wake,1,4471.4345703125,95152128.0,881746,5.07
06013,Contra Costa,1,4399.7412109375,93626496.0,903366,4.87
36055,Monroe,1,4361.1435546875,92805136.0,599082,7.28
40109,Oklahoma,1,4278.4013671875,91044376.0,596231,7.18
21111,Jefferson,1,4243.26318359375,90296640.0,604298,7.02
12031,Duval,1,4212.34423828125,89638688.0,780482,5.4
48141,El Paso,1,4165.92822265625,88650944.0,637480,6.53
47157,Shelby,1,4135.125,87995464.0,687301,6.02
08041,El Paso,1,4129.140625,87868112.0,563588,7.33
12103,Pinellas,1,4096.29736328125,87169208.0,810106,5.06
13121,Fulton,1,4067.726318359375,86561216.0,842905,4.83
25025,Suffolk,1,4034.75927734375,85859680.0,655678,6.15
51059,Fairfax,1,3976.65283203125,84623168.0,879683,4.52
24031,Montgomery,1,3954.152587890625,84144368.0,814883,4.85
24005,Baltimore,1,3886.885498046875,82712920.0,663161,5.86
47037,Davidson,1,3835.080810546875,81610512.0,561736,6.83
06029,Kern,1,3783.204833984375,80506576.0,647883,5.84
39061,Hamilton,1,3748.45458984375,79767112.0,636698,5.89
06019,Fresno,1,3735.99609375,79501976.0,728329,5.13
25009,Essex,1,3734.19189453125,79463600.0,637838,5.85
35001,Bernalillo,1,3669.633056640625,78089792.0,535032,6.86
08031,Denver,1,3640.91650390625,77478704.0,582914,6.25
40143,Tulsa,1,3593.137451171875,76461960.0,503784,7.13
42091,Montgomery,1,3578.342041015625,76147120.0,676249,5.29
36119,Westchester,1,3555.04443359375,75651344.0,782149,4.55
17043,DuPage,1,3535.201904296875,75229104.0,719689,4.91
44007,Providence,1,3478.745361328125,74027704.0,525159,6.62
48215,Hidalgo,1,3478.2607421875,74017392.0,604282,5.76
53063,Spokane,1,3433.313720703125,73060928.0,425898,8.06
13135,Gwinnett,1,3421.250732421875,72804216.0,711750,4.81
48491,Williamson,1,3410.187744140625,72568800.0,486290,7.01
34003,Bergen,1,3403.763671875,72432088.0,753888,4.51
25027,Worcester,1,3395.428466796875,72254720.0,682295,4.98
26081,Kent,1,3368.978271484375,71691848.0,502551,6.7
12071,Lee,1,3368.498779296875,71681656.0,656231,5.13
29095,Jackson,1,3365.115478515625,71609656.0,548629,6.13
49049,Utah,1,3362.062744140625,71544696.0,463691,7.25
06111,Ventura,1,3348.99169921875,71266552.0,652464,5.13
34023,Middlesex,1,3325.998291015625,70777248.0,675050,4.93
48157,Fort Bend,1,3306.333251953125,70358776.0,628018,5.26
06075,San Francisco,1,3283.799072265625,69879240.0,721593,4.55
34013,Essex,1,3237.0439453125,68884296.0,651811,4.97
12105,Polk,1,3222.31005859375,68570752.0,592991,5.43
48339,Montgomery,1,3102.630126953125,66023972.0,483927,6.41
27123,Ramsey,1,3023.553955078125,64341228.0,417993,7.23
41067,Washington,1,3013.801025390625,64133684.0,468240,6.44
08005,Arapahoe,1,2961.813720703125,63027392.0,505658,5.86
13067,Cobb,1,2943.5478515625,62638696.0,593070,4.96
42017,Bucks,1,2917.2119140625,62078260.0,516115,5.65
01073,Jefferson,1,2914.306396484375,62016444.0,515654,5.65
25021,Norfolk,1,2908.806884765625,61899408.0,574797,5.06
16001,Ada,1,2904.482421875,61807384.0,393981,7.37
12101,Pasco,1,2890.883056640625,61517992.0,469214,6.16
39113,Montgomery,1,2887.5869140625,61447856.0,416417,6.93
06077,San Joaquin,1,2858.71337890625,60833420.0,578486,4.94
34029,Ocean,1,2852.515869140625,60701532.0,485435,5.88
