GEOID,adult_target,allocated_adults,ndvi_covered_adults,ndvi_population_coverage,tract_count
01001,45359.0,45358.99999999993,45358.99999999993,0.9999999999999984,12
01003,188817.0,188817.0,188813.52620725398,0.9999816023305845,31
01007,17694.0,17694.000000000007,17694.000000000007,1.0000000000000004,4
01009,45554.0,45554.00000000001,45554.00000000001,1.0000000000000002,9
01015,91312.0,91312.0,91312.0,1.0,28
01021,34534.0,34534.00000000004,34534.00000000004,1.000000000000001,9
01033,45337.0,45336.99999999998,45336.99999999998,0.9999999999999996,14
01051,69414.0,69414.00000000001,69414.00000000001,1.0000000000000002,15
01055,80721.0,80720.99999999999,80720.99999999999,0.9999999999999998,30
01061,20816.0,20816.000000000004,20816.000000000004,1.0000000000000002,6
01063,5967.0,5967.0,5967.0,1.0,3
01065,11234.0,11233.99999999997,11233.99999999997,0.9999999999999974,6
01067,13880.0,13879.999999999969,13879.999999999969,0.9999999999999978,6
01069,82816.0,82815.99999999999,82815.99999999999,0.9999999999999998,22
01073,515654.0,515654.00000000006,515654.00000000006,1.0000000000000002,163
01077,76489.0,76488.99999999996,76488.99999999996,0.9999999999999994,22
01079,25960.0,25960.0,25960.0,1.0,9
01081,140096.0,140095.99999999997,140095.99999999997,0.9999999999999998,27
01083,83624.0,83624.00000000009,83624.00000000009,1.000000000000001,16
01085,7809.0,7809.000000000003,7809.000000000003,1.0000000000000004,4
01089,310781.0,310781.00000000006,310781.00000000006,1.0000000000000002,73
01097,316486.0,316485.9999999999,316485.0495588027,0.9999969968933939,114
01101,172489.0,172488.99999999997,172488.99999999997,0.9999999999999998,65
01103,94858.0,94857.99999999991,94857.99999999991,0.9999999999999991,27
01107,15204.0,15204.000000000007,15204.000000000007,1.0000000000000004,5
01113,44552.0,44551.99999999999,44551.99999999999,0.9999999999999999,13
01115,72088.0,72087.99999999999,72087.99999999999,0.9999999999999998,13
01117,174730.0,174730.00000000006,174719.6413341092,0.9999407161569805,47
01125,185617.0,185616.99999999997,185616.99999999997,0.9999999999999999,47
01129,12110.0,12109.999999999993,12109.999999999993,0.9999999999999994,5
04003,99244.0,99244.0000000001,99244.0000000001,1.000000000000001,32
04005,115936.0,115936.00000000006,115936.00000000006,1.0000000000000004,28
04013,3466307.0,3466306.9999999995,3466306.9999999995,0.9999999999999999,909
04015,181878.0,181878.00000000006,181877.99867466377,0.9999999927130482,43
04019,841363.0,841362.9999999995,841362.9999999995,0.9999999999999994,241
04021,351626.0,351626.0,351626.0,1.0,75
04025,203933.0,203932.9999999998,203932.88973301073,0.9999994592979593,42
04027,156074.0,156073.99999999997,156073.99999999997,0.9999999999999998,53
05007,218751.0,218750.99999999994,218750.99999999994,0.9999999999999998,49
05025,5918.0,5918.000000000013,5918.000000000013,1.0000000000000022,2
05031,83729.0,83729.0,83729.0,1.0,17
05033,46116.0,46115.99999999997,46115.99999999997,0.9999999999999993,11
05035,34616.0,34616.000000000015,34616.000000000015,1.0000000000000004,20
05045,97283.0,97282.99999999997,97282.99999999997,0.9999999999999997,25
05047,13328.0,13328.000000000025,13327.973629336382,0.9999980214087921,3
05051,80058.0,80057.99999999994,80057.9350962751,0.9999991892912027,20
05053,14243.0,14242.999999999975,14242.999999999975,0.9999999999999982,4
05069,51558.0,51558.0,51557.09352715281,0.9999824183861439,24
05079,10898.0,10898.00000000001,10896.436585709573,0.9998565411735706,4
05081,9298.0,9298.000000000005,9297.191518402597,0.999913047795504,4
05085,56067.0,56067.00000000003,56067.00000000003,1.0000000000000004,16
05087,13050.0,13049.999999999982,13049.316971843167,0.9999476606776373,4
05091,32525.0,32525.000000000004,32524.697743891313,0.9999907069605323,11
05105,7873.0,7873.000000000031,7872.943096025778,0.9999927722628957,3
05111,17256.0,17255.99999999999,17255.99999999999,0.9999999999999993,7
05119,305494.0,305493.9999999999,305493.9999999999,0.9999999999999997,94
05125,96345.0,96344.99999999994,96344.99999999994,0.9999999999999994,21
05131,97738.0,97738.00000000001,97738.00000000001,1.0000000000000002,26
05143,191964.0,191963.99999999997,191944.093258754,0.9998962996121877,32
06001,1320914.0,1320914.0,1320887.1911169705,0.9999797042933685,359
06007,166535.0,166535.00000000006,166535.00000000006,1.0000000000000004,51
06013,903366.0,903366.0,903359.2590954062,0.9999925380138351,207
06017,154382.0,154382.00000000003,154381.99936160256,0.9999999958648195,42
06019,728329.0,728328.9999999999,728328.9987531155,0.9999999982880203,199
06025,128203.0,128203.00000000004,128203.00000000004,1.0000000000000004,31
06029,647883.0,647883.0,647882.9964528682,0.9999999945250426,151
06031,111456.0,111456.0,111456.0,1.0,27
06037,7790870.0,7790870.0,7790734.7133623725,0.9999826352335969,2323
06039,115343.0,115343.00000000004,115342.29520951056,0.9999938896119449,23
06041,207753.0,207752.99999999994,207742.78352619775,0.999950823940919,55
06047,202355.0,202354.99999999994,202354.99999999994,0.9999999999999997,49
06053,322633.0,322633.00000000006,322613.30084813805,0.999938942538854,92
06055,109047.0,109047.0,109047.0,1.0,40
06059,2489230.0,2489230.0,2489226.510004502,0.9999985979618202,580
06061,321825.0,321824.99999999994,321824.99999999994,0.9999999999999998,84
06065,1851238.0,1851237.9999999995,1851237.8774189944,0.9999999337843078,452
06067,1218380.0,1218380.0,1218380.0,1.0,317
06069,49236.0,49235.999999999956,49235.999999999956,0.9999999999999991,11
06071,1623837.0,1623837.0,1623826.578683376,0.9999935822889712,368
06073,2588613.0,2588613.0000000005,2588542.9221271644,0.9999729284088291,626
06075,721593.0,721593.0,721241.7901299959,0.9995132853700021,195
06077,578486.0,578486.0,578486.0,1.0,139
06079,231922.0,231921.99999999994,231887.31770561534,0.9998504570744273,53
06081,597036.0,597036.0,596902.5783800839,0.9997765266752489,156
06083,344367.0,344366.9999999999,344359.20822482195,0.9999773736299412,87
06085,1504544.0,1504544.0,1504544.0,1.0,372
06087,216119.0,216119.0,215999.75107806304,0.999448225644497,52
06089,142150.0,142149.99999999994,142149.9984384328,0.9999999890146523,48
06095,351400.0,351399.99999999994,351399.97193469823,0.999999920132892,95
06097,391704.0,391704.0,391702.3903698213,0.9999958906976218,99
06099,403935.0,403935.0,403935.0,1.0,94
06101,73803.0,73803.0,73803.0,1.0,21
06107,332659.0,332659.00000000006,332656.45201809093,0.9999923405592241,78
06111,652464.0,652464.0000000001,652456.030587004,0.9999877856663418,173
06113,173144.0,173143.99999999997,173143.96725534005,0.9999998108819251,41
06115,60439.0,60439.00000000002,60439.00000000002,1.0000000000000004,14
08001,391408.0,391407.99999999994,391367.95084107725,0.9998976792530486,96
08005,505658.0,505658.00000000006,505658.00000000006,1.0000000000000002,147
