radius_m,counties,adult_population,preventable_cases,preventable_cost_usd,preventable_per_1000_adults,relative_to_300m
250,1167,218643229,1264303.468389988,26904377684.359375,5.782495411234472,0.9999996832125835
300,1167,218643229,1264303.8689055443,26904386207.875,5.782497243056835,1.0
500,1167,218643229,1241074.7263188362,26410069989.0625,5.676255020542329,0.9816269307102441
1000,1167,218643229,1217851.4239492416,25915878234.914062,5.570039509200816,0.9632584807349244
