measure,rank_direction,concentration_index,interpretation,matched_tracts
income,low income to high income,0.019125,no material gradient detected,241
svi,low vulnerability to high vulnerability,-0.027821,benefits concentrate in less socially vulnerable neighborhoods (equity concern),239
