tractfips,depression_crudeprev
12011042200,14.2
12011042301,17.5
12011042302,17.0
12011042400,16.9
12011042500,16.5
12011042600,16.8
12011042700,18.5
12011042800,18.1
12011042900,16.8
12011043001,17.2
12011043002,18.0
12011043100,16.8
12011043301,17.2
12011043302,20.2
12011050100,19.6
12011050204,17.3
12011050205,13.6
12011050206,15.5
12011050207,17.4
12011050208,19.1
12011050301,16.8
12011050306,18.6
12011050307,17.8
12011050308,17.7
12011050309,19.8
12011050310,15.7
12011050311,17.5
12011050312,16.5
12011050401,16.7
12011050402,18.2
12011050501,18.9
12011050502,18.6
12011050601,16.9
12011050602,17.4
12011050701,17.1
12011050702,18.7
12011050800,16.8
12011050900,16.7
12011051001,15.6
12011051002,15.0
12011060105,16.7
12011060107,16.2
12011060109,14.9
12011060111,16.2
12011060112,17.4
12011060113,17.1
12011060114,17.0
12011060115,18.4
12011060116,16.5
12011060117,17.5
12011060118,17.3
12011060119,17.6
12011060120,16.0
12011060121,16.7
12011060122,17.1
12011060123,14.6
12011060124,16.9
12011060125,16.7
12011060126,14.7
12011060127,17.2
12011060128,16.1
12011060203,18.1
12011060206,16.5
12011060207,15.5
12011060208,16.8
12011060209,17.0
12011060210,17.8
12011060211,15.1
12011060212,17.7
12011060213,14.5
12011060302,18.6
12011060303,18.7
12011060304,18.3
12011060305,17.2
12011060306,15.3
12011060401,16.7
12011060402,17.6
12011060403,16.8
12011060501,18.1
12011060503,16.6
12011060504,16.7
12011060505,16.1
12011060603,17.4
12011060605,17.6
12011060606,16.7
12011060607,16.2
12011060608,17.1
12011060609,16.9
12011060700,16.2
12011060801,16.6
12011060802,16.6
12011060900,16.6
12011061001,16.2
12011061002,17.1
12011061100,18.6
12011070101,18.6
12011070102,18.8
12011070204,19.6
12011070205,17.6
12011070207,16.2
12011070208,17.1
12011070209,17.0
12011070210,17.2
12011070211,18.2
12011070304,17.6
12011070305,18.2
12011070306,16.0
12011070310,17.0
12011070311,15.9
12011070312,15.4
12011070313,14.8
12011070314,17.3
12011070315,16.3
12011070316,16.2
12011070317,14.7
12011070318,15.4
12011070319,15.3
12011070320,15.3
12011070321,14.1
12011070322,16.0
12011070401,17.3
12011070402,17.4
12011070403,17.5
12011070404,17.9
12011070405,17.0
12011070501,16.8
12011070502,17.5
12011070601,18.8
12011070602,18.5
12011080101,17.5
12011080102,17.6
12011080103,17.1
12011080200,17.4
12011080402,18.4
12011080403,18.7
12011080405,18.8
12011080406,17.8
12011080500,18.3
12011090101,15.4
12011090102,16.1
12011090200,17.2
12011090301,18.6
12011090302,17.7
12011090401,16.9
12011090403,18.1
12011090404,18.4
12011090502,17.6
12011090503,15.6
12011090504,17.3
12011090601,16.9
12011090602,17.1
12011090700,16.2
12011090801,18.0
12011090802,16.0
12011090900,16.2
12011091000,16.9
12011091100,18.8
12011091201,17.6
12011091202,17.1
12011091300,15.9
12011091400,16.7
12011091500,17.7
12011091600,16.8
12011091701,17.6
12011091702,17.0
12011091801,17.8
12011091802,17.2
12011091901,18.7
12011091902,18.7
12011092000,16.3
12011100101,16.2
12011100103,16.9
12011100104,15.7
12011100105,15.4
12011100201,17.1
12011100202,17.1
12011100300,17.5
12011100400,17.2
12011100501,19.2
12011100502,19.1
12011100600,17.5
12011100700,16.7
12011100801,18.4
12011100802,18.0
12011110100,16.5
12011110301,16.2
12011110302,15.4
12011110303,15.2
12011110307,16.8
12011110308,16.8
12011110309,16.0
12011110311,16.7
12011110312,16.4
12011110313,17.0
12011110319,15.0
12011110320,16.9
12011110321,15.1
12011110322,15.0
12011110323,16.4
12011110324,14.2
12011110325,14.3
12011110326,15.4
12011110327,15.3
12011110328,15.3
12011110330,15.0
12011110331,15.5
12011110332,14.8
12011110333,14.3
12011110334,13.0
12011110335,13.5
12011110336,15.6
12011110337,16.9
12011110338,16.6
12011110339,15.2
12011110340,15.3
12011110341,15.9
12011110342,16.3
12011110343,14.4
12011110402,15.6
12011110403,16.6
12011110404,16.5
12011110501,16.5
12011110502,16.3
12011110600,18.2
12013010100,21.0
12013010200,22.5
12013010300,19.5
12015010100,18.0
12015010200,19.4
12015010301,17.8
12015010302,20.1
12015010401,15.2
12015010402,15.8
12015010403,15.8
12015010404,15.6
12015010501,19.0
12015010502,18.9
12015020101,18.6
12015020103,17.6
12015020104,15.8
12015020201,18.3
12015020202,19.0
12015020301,18.2
12015020302,19.5
12015020303,19.8
12015020400,18.9
12015020501,18.5
12015020502,16.8
12015020601,18.4
12015020602,19.8
12015020700,19.8
12015020800,20.8
12015020900,19.0
12015021001,19.5
12015021002,16.5
12015021003,16.7
12015030100,19.3
12015030200,19.2
12015030301,16.8
12015030302,16.5
12015030401,17.8
12015030402,17.5
12015030501,17.8
12015030502,17.8
12015030503,17.9
12017450101,19.3
12017450102,20.7
12017450201,21.7
12017450202,23.0
12017450302,21.9
12017450303,21.4
12017450304,19.3
12017450400,22.3
12017450500,20.8
12017450601,22.2
12017450602,20.0
12017450701,18.1
12017450702,21.6
12017450800,22.7
12017450901,20.7
12017450902,20.4
12017451000,20.8
12017451101,22.2
12017451102,21.9
12017451200,21.0
12017451300,22.3
12017451400,22.6
12017451501,22.2
12017451502,23.0
12017451601,19.1
12017451602,18.4
12017451700,20.2
12019030102,23.5
12019030103,23.4
12019030104,23.0
12019030201,20.4
12019030202,22.0
12019030203,19.8
12019030301,20.8
12019030303,20.0
12019030304,20.7
12019030400,22.7
12019030500,19.8
12019030600,18.8
12019030701,19.5
12019030702,20.4
12019030703,18.8
12019030801,19.9
12019030802,20.0
12019030902,21.3
12019030903,21.9
12019030904,20.4
12019031101,21.4
12019031104,22.3
12019031105,22.7
12019031106,23.0
12019031107,19.0
12019031108,21.2
12019031200,20.9
12019031300,20.6
12019031400,21.3
12019031500,21.8
12021000101,15.4
12021000102,15.4
12021000200,16.3
12021000301,14.1
12021000302,15.1
12021000401,12.7
12021000402,12.1
12021000500,13.8
12021000600,15.7
12021000700,17.1
12021010102,14.9
12021010105,14.9
12021010106,13.3
12021010107,17.2
12021010108,16.1
12021010109,16.1
12021010110,17.6
12021010205,15.4
12021010208,12.7
12021010209,13.5
12021010210,13.4
12021010211,15.2
12021010212,15.1
12021010213,14.9
12021010215,12.5
12021010300,16.6
