GEOID,name,acs_year,population_total,population_adult,adult_fraction
12069,Lake,2023,398696,322624,0.80919799
12071,Lee,2023,792692,656231,0.82785117
12073,Leon,2023,295335,240404,0.81400444
12075,Levy,2023,44276,35589,0.80379890
12081,Manatee,2023,416020,342333,0.82287630
12083,Marion,2023,387697,314765,0.81188402
12085,Martin,2023,160464,134388,0.83749626
12086,Miami-Dade,2023,2685296,2144601,0.79864603
12089,Nassau,2023,94653,76132,0.80432739
12091,Okaloosa,2023,214281,165844,0.77395569
12095,Orange,2023,1440471,1129805,0.78433026
12097,Osceola,2023,406943,309159,0.75971082
12099,Palm Beach,2023,1507453,1222641,0.81106409
12101,Pasco,2023,588758,469214,0.79695563
12103,Pinellas,2023,960565,810106,0.84336406
12105,Polk,2023,760961,592991,0.77926595
12109,St. Johns,2023,292243,228898,0.78324545
12111,St. Lucie,2023,346237,277902,0.80263519
12113,Santa Rosa,2023,193719,151168,0.78034679
12115,Sarasota,2023,449011,385947,0.85954910
12117,Seminole,2023,474912,376507,0.79279319
12119,Sumter,2023,137536,127767,0.92897132
12127,Volusia,2023,568229,468769,0.82496493
12129,Wakulla,2023,34608,27548,0.79600092
12131,Walton,2023,79846,63275,0.79246299
13013,Barrow,2023,86982,64886,0.74597043
13015,Bartow,2023,111153,84934,0.76411793
13021,Bibb,2023,156543,118256,0.75542183
13025,Brantley,2023,18171,14106,0.77629189
13027,Brooks,2023,16285,12833,0.78802579
13029,Bryan,2023,46681,33025,0.70746128
13033,Burke,2023,24427,18360,0.75162730
13035,Butts,2023,26074,20724,0.79481476
13045,Carroll,2023,122187,93063,0.76164404
13047,Catoosa,2023,68356,53057,0.77618644
13051,Chatham,2023,298143,235733,0.79067092
13053,Chattahoochee,2023,9181,7422,0.80840867
13057,Cherokee,2023,274539,210602,0.76711141
13059,Clarke,2023,129267,107331,0.83030472
13063,Clayton,2023,298771,217282,0.72725265
13067,Cobb,2023,769152,593070,0.77106996
13073,Columbia,2023,159638,119608,0.74924517
13077,Coweta,2023,150071,114938,0.76589081
13079,Crawford,2023,12183,9650,0.79208733
13083,Dade,2023,16196,13018,0.80377871
13085,Dawson,2023,28704,22951,0.79957497
13089,DeKalb,2023,762105,586766,0.76992803
13095,Dougherty,2023,83915,63638,0.75836263
13097,Douglas,2023,146141,108745,0.74411014
13101,Echols,2023,3705,2671,0.72091768
13103,Effingham,2023,67265,49354,0.73372482
13113,Fayette,2023,120689,93181,0.77207533
13115,Floyd,2023,98985,76391,0.77174319
13117,Forsyth,2023,260062,191875,0.73780483
13121,Fulton,2023,1068507,842905,0.78886240
13127,Glynn,2023,84987,67078,0.78927365
13135,Gwinnett,2023,966972,711750,0.73606061
13139,Hall,2023,208395,158032,0.75832913
13143,Haralson,2023,30720,23397,0.76162109
13145,Harris,2023,35509,27872,0.78492776
13149,Heard,2023,11616,8911,0.76713154
13151,Henry,2023,245417,183468,0.74757657
13153,Houston,2023,166902,124123,0.74368791
13159,Jasper,2023,15345,11747,0.76552623
13169,Jones,2023,28526,22008,0.77150670
